Datum;BundeslandID;Name;BestaetigteFaelleBundeslaender;Todesfaelle;Genesen;Hospitalisierung;Intensivstation;Testungen;TestungenPCR;TestungenAntigen
2021-03-22T09:30:00+01:00;10;Österreich;516565;9089;475227;1983;437;20476485;6382399;14094086
2021-03-23T09:30:00+01:00;1;Burgenland;14914;262;13340;67;16;861558;174679;686879
2021-03-23T09:30:00+01:00;2;Kärnten;32633;733;30463;89;16;929695;242218;687477
2021-03-23T09:30:00+01:00;3;Niederösterreich;87574;1495;78780;428;85;4694800;1339132;3355668
2021-03-23T09:30:00+01:00;4;Oberösterreich;95087;1572;89593;248;57;3088116;594780;2493336
2021-03-23T09:30:00+01:00;5;Salzburg;41944;525;38516;118;19;1232030;306604;925426
2021-03-23T09:30:00+01:00;6;Steiermark;63044;1830;57002;327;51;2572266;568895;2003371
2021-03-23T09:30:00+01:00;7;Tirol;51959;591;49046;117;23;2036946;670212;1366734
2021-03-23T09:30:00+01:00;8;Vorarlberg;24764;280;23995;19;2;1234614;412368;822246
2021-03-23T09:30:00+01:00;9;Wien;108061;1833;97205;636;168;4196267;2122678;2073589
2021-03-23T09:30:00+01:00;10;Österreich;519980;9121;477940;2049;437;20846292;6431566;14414726
2021-03-24T09:30:00+01:00;1;Burgenland;15081;264;13474;71;16;872896;176121;696775
2021-03-24T09:30:00+01:00;2;Kärnten;32781;735;30577;90;15;931134;243164;687970
2021-03-24T09:30:00+01:00;3;Niederösterreich;88257;1501;79292;443;91;4767494;1345120;3422374
2021-03-24T09:30:00+01:00;4;Oberösterreich;95613;1575;90007;263;54;3129752;598002;2531750
2021-03-24T09:30:00+01:00;5;Salzburg;42228;526;38678;115;18;1252911;308780;944131
2021-03-24T09:30:00+01:00;6;Steiermark;63438;1839;57349;325;50;2625970;571728;2054242
2021-03-24T09:30:00+01:00;7;Tirol;52221;591;49243;120;25;2053643;676228;1377415
2021-03-24T09:30:00+01:00;8;Vorarlberg;24792;280;24022;20;2;1273158;431299;841859
2021-03-24T09:30:00+01:00;9;Wien;108858;1840;97955;639;176;4240176;2142874;2097302
2021-03-24T09:30:00+01:00;10;Österreich;523269;9151;480597;2086;447;21147134;6493316;14653818
2021-03-25T09:30:00+01:00;1;Burgenland;15183;267;13569;76;18;884164;177254;706910
2021-03-25T09:30:00+01:00;2;Kärnten;32901;736;30672;92;16;932192;244147;688045
2021-03-25T09:30:00+01:00;3;Niederösterreich;88929;1505;79756;449;94;4855242;1358212;3497030
2021-03-25T09:30:00+01:00;4;Oberösterreich;96058;1577;90314;267;56;3184428;600979;2583449
2021-03-25T09:30:00+01:00;5;Salzburg;42430;529;38907;119;21;1274885;311110;963775
2021-03-25T09:30:00+01:00;6;Steiermark;63667;1843;57688;317;48;2657562;575061;2082501
2021-03-25T09:30:00+01:00;7;Tirol;52468;592;49427;117;25;2178261;681990;1496271
2021-03-25T09:30:00+01:00;8;Vorarlberg;24891;280;24059;20;1;1313899;448492;865407
2021-03-25T09:30:00+01:00;9;Wien;109866;1849;99068;611;167;4284829;2171309;2113520
2021-03-25T09:30:00+01:00;10;Österreich;526393;9178;483460;2068;446;21565462;6568554;14996908
2021-03-26T09:30:00+01:00;1;Burgenland;15304;269;13680;87;19;899869;178434;721435
2021-03-26T09:30:00+01:00;2;Kärnten;33081;737;30808;87;14;933153;245108;688045
2021-03-26T09:30:00+01:00;3;Niederösterreich;89763;1508;80197;456;99;4935497;1369259;3566238
2021-03-26T09:30:00+01:00;4;Oberösterreich;96746;1580;90759;284;64;3218056;604271;2613785
2021-03-26T09:30:00+01:00;5;Salzburg;42621;531;39145;117;22;1295737;312885;982852
2021-03-26T09:30:00+01:00;6;Steiermark;64153;1846;58004;315;54;2663502;578496;2085006
2021-03-26T09:30:00+01:00;7;Tirol;52778;592;49626;134;25;2194887;687087;1507800
2021-03-26T09:30:00+01:00;8;Vorarlberg;24954;280;24083;23;1;1337430;472023;865407
2021-03-26T09:30:00+01:00;9;Wien;110888;1857;99786;648;165;4572963;2109209;2463754
2021-03-26T09:30:00+01:00;10;Österreich;530288;9200;486088;2151;463;22051094;6556772;15494322
2021-03-27T09:30:00+01:00;1;Burgenland;15446;270;13814;94;20;917549;179517;738032
2021-03-27T09:30:00+01:00;2;Kärnten;33265;739;30933;79;17;934164;246030;688134
